column_id,abbrev_name,full_name
122,pl_ratrorerr1,Ratio of Planet to Stellar Radius Upper Unc.
123,pl_ratrorerr2,Ratio of Planet to Stellar Radius Lower Unc.
124,pl_ratrorlim,Ratio of Planet to Stellar Radius Limit Flag
125,pl_ratror_reflink,Ratio of Planet to Stellar Radius Reference
126,pl_occdep,Occultation Depth [%]
127,pl_occdeperr1,Occultation Depth Upper Unc. [%]
128,pl_occdeperr2,Occultation Depth Lower Unc. [%]
129,pl_occdeplim,Occultation Depth Limit Flag
130,pl_occdep_reflink,Occultation Depth Reference
131,pl_orbtper,Epoch of Periastron [days]
132,pl_orbtpererr1,Epoch of Periastron Upper Unc. [days]
133,pl_orbtpererr2,Epoch of Periastron Lower Unc. [days]
134,pl_orbtperlim,Epoch of Periastron Limit Flag
135,pl_orbtper_systemref,Epoco of Periastron Time System Frame and Standard
136,pl_orbtper_reflink,Epoch of Periastron Reference
137,pl_orblper,Argument of Periastron [deg]
138,pl_orblpererr1,Argument of Periastron Upper Unc. [deg]
139,pl_orblpererr2,Argument of Periastron Lower Unc. [deg]
140,pl_orblperlim,Argument of Periastron Limit Flag
141,pl_orblper_reflink,Argument of Periastron Reference
142,pl_rvamp,Radial Velocity Amplitude [m/s]
143,pl_rvamperr1,Radial Velocity Amplitude Upper Unc. [m/s]
144,pl_rvamperr2,Radial Velocity Amplitude Lower Unc. [m/s]
145,pl_rvamplim,Radial Velocity Amplitude Limit Flag
146,pl_rvamp_reflink,Radial Velocity Amplitude Reference
147,pl_projobliq,Projected Obliquity [deg]
148,pl_projobliqerr1,Projected Obliquity Upper Unc. [deg]
149,pl_projobliqerr2,Projected Obliquity Lower Unc. [deg]
150,pl_projobliqlim,Projected Obliquity Limit Flag
151,pl_projobliq_reflink,Projected Obliquity Reference
152,pl_trueobliq,True Obliquity [deg]
153,pl_trueobliqerr1,True Obliquity Upper Unc. [deg]
154,pl_trueobliqerr2,True Obliquity Lower Unc. [deg]
155,pl_trueobliqlim,True Obliquity Limit Flag
156,pl_trueobliq_reflink,True Obliquity Reference
157,st_spectype,Spectral Type
158,st_spectype_reflink,Spectral Type Reference
159,st_teff,Stellar Effective Temperature [K]
160,st_tefferr1,Stellar Effective Temperature Upper Unc. [K]
161,st_tefferr2,Stellar Effective Temperature Lower Unc. [K]
162,st_tefflim,Stellar Effective Temperature Limit Flag
163,st_teff_reflink,Stellar Effective Temperature Reference
164,st_rad,Stellar Radius [Solar Radius]
165,st_raderr1,Stellar Radius Upper Unc. [Solar Radius]
166,st_raderr2,Stellar Radius Lower Unc. [Solar Radius]
167,st_radlim,Stellar Radius Limit Flag
168,st_rad_reflink,Stellar Radius Reference
169,st_mass,Stellar Mass [Solar mass]
170,st_masserr1,Stellar Mass Upper Unc. [Solar mass]
171,st_masserr2,Stellar Mass Lower Unc. [Solar mass]
172,st_masslim,Stellar Mass Limit Flag
173,st_mass_reflink,Stellar Mass Reference
174,st_met,Stellar Metallicity [dex]
